"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"    ",370223675,"ACC-NO", 0000000000000.00,"                              ","RUWACON PLANT AND EQ                  ",000000,000.00
"0956",020250102,"OPEN  ",+0000001148731.61,"                              ","OPEN BALANCE                          ",000000,000.00
"0956",020250102,"ACB   ",-0000000041986.00,"LOAN REPAYMENT                ","SBSARETAIL895F     00041909607        ",006033,005.50
"0956",020250102,"ACB   ",-0000000002652.00,"ACCOUNT PAYMENT               ","SEESA     LABOUR 65486                ",006032,020.00
"0956",020250102,"ACB   ",-0000000000538.00,"ACCOUNT PAYMENT               ","CEO       CEO 65486                   ",006032,020.00
"0956",020250102,"ACB   ",-0000000021120.00,"INSURANCE PREMIUM             ","SANLAMEASY000S0444825010              ",006021,020.00
"0956",020250102,"ACB   ",-0000000005888.76,"INSURANCE PREMIUM             ","SANT AVIAT1039CA 44300008070          ",006021,020.00
"0956",020250102,"CLOSE ",+0000001076546.85,"                              ","CLOSE BALANCE                         ",000000,000.00
"0957",020250103,"OPEN  ",+0000001076546.85,"                              ","OPEN BALANCE                          ",000000,000.00
"0957",020250103,"CLOSE ",+0000001076546.85,"                              ","CLOSE BALANCE                         ",000000,000.00
"0958",020250104,"OPEN  ",+0000001076546.85,"                              ","OPEN BALANCE                          ",000000,000.00
"0958",020250104,"FEE   ",-0000000000865.80,"BUSINESS ELECT BANK CHARGES ##","STNDRDBANK   BOL OFG56 DEC 24         ",000231,000.00
"0958",020250104,"CLOSE ",+0000001075681.05,"                              ","CLOSE BALANCE                         ",000000,000.00
"0959",020250106,"OPEN  ",+0000001075681.05,"                              ","OPEN BALANCE                          ",000000,000.00
"0959",020250106,"ACB   ",-0000000011745.86,"ELECTRONIC TRF - CREDIT CARD  ","SB OUTOBETAAL 5221182036900262        ",006055,005.50
"0959",020250106,"CLOSE ",+0000001063935.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0960",020250107,"OPEN  ",+0000001063935.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0960",020250107,"CLOSE ",+0000001063935.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0961",020250108,"OPEN  ",+0000001063935.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0961",020250108,"FEE   ",-0000000000405.00,"BANK CHARGES                ##","E B D STAN EFT CHG 85GT   EBD1        ",000311,000.00
"0961",020250108,"CLOSE ",+0000001063530.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0962",020250109,"OPEN  ",+0000001063530.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0962",020250109,"CLOSE ",+0000001063530.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0963",020250110,"OPEN  ",+0000001063530.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0963",020250110,"CLOSE ",+0000001063530.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0964",020250111,"OPEN  ",+0000001063530.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0964",020250111,"CLOSE ",+0000001063530.19,"                              ","CLOSE BALANCE                         ",000000,000.00
"0965",020250113,"OPEN  ",+0000001063530.19,"                              ","OPEN BALANCE                          ",000000,000.00
"0965",020250113,"ACB   ",+0000000001540.02,"CREDIT TRANSFER               ","KHANYA LESEDI TRADING AND SUPP        ",006088,000.00
"0965",020250113,"ACB   ",+0000000068838.10,"CREDIT TRANSFER               ","Inv. 1258 - Dups Towing               ",006088,000.00
"0965",020250113,"PAY   ",-0000000001552.50,"ELECTRONIC BANKING PAYMENT TO ","4ATMG 4ATMG01 ATMG  ZCX8315:59        ",000509,000.00
"0965",020250113,"PAY   ",-0000000006000.00,"ELECTRONIC BANKING PAYMENT TO ","CGOC0 CGOC01 CGOC A ZCX8315:59        ",000509,000.00
"0965",020250113,"PAY   ",-0000000007558.00,"ELECTRONIC BANKING PAYMENT TO ","LOU00 LOU001 LL KIL ZCX8315:59        ",000509,000.00
"0965",020250113,"PAY   ",-0000000008535.00,"ELECTRONIC BANKING PAYMENT TO ","8401  172900  H OLI ZCX8315:59        ",000509,000.00
"0965",020250113,"PAY   ",-0000000008705.50,"ELECTRONIC BANKING PAYMENT TO ","4SNY0 4SNY001 SNYMA ZCX8315:59        ",000509,000.00
"0965",020250113,"CLOSE ",+0000001101557.31,"                              ","CLOSE BALANCE                         ",000000,000.00
